route_id,direction,origin,destination,market,airline_filter,airport_group,purpose,active
HEL_KIX_AY,LOCAL_OUT,HEL,KIX,Finland-Japan,AY,benchmark,AY_direct_watch,TRUE
HEL_HND_AY,LOCAL_OUT,HEL,HND,Finland-Japan,AY,benchmark,AY_direct_watch,TRUE
HEL_NRT_AY,LOCAL_OUT,HEL,NRT,Finland-Japan,AY,benchmark,AY_direct_watch,TRUE
HEL_NGO_AY,LOCAL_OUT,HEL,NGO,Finland-Japan,AY,base,AY_direct_watch,TRUE
KIX_HEL_AY,JP_OUT,KIX,HEL,Japan-Finland,AY,benchmark,AY_direct_watch,TRUE
HND_HEL_AY,JP_OUT,HND,HEL,Japan-Finland,AY,benchmark,AY_direct_watch,TRUE
NRT_HEL_AY,JP_OUT,NRT,HEL,Japan-Finland,AY,benchmark,AY_direct_watch,TRUE
NGO_HEL_AY,JP_OUT,NGO,HEL,Japan-Finland,AY,base,AY_direct_watch,TRUE
